Outlier,Set,Scaler,Classifier,Avg Train Accuracy,Avg Validation Accuracy,Avg ROC AUC,Avg Full Overfitting,Avg ConfMat_TN,Avg ConfMat_FP,Avg ConfMat_FN,Avg ConfMat_TP,Prec_Ben,Prec_Mal,F1,Lowest Accuracy,External Test Accuracy
none,Normal_Feature_Set.csv,MinMaxScaler,RandomForest,0.9129401511205211,0.848439527253914,0.9299141714033505,0.6476902083323768,2280,665,467,4057,0.8967892335897792,0.7742727066885944,0.8011256972062022,0.8380187416331994,0.629913566328448
iqr,Normal_Feature_Set.csv,MinMaxScaler,RandomForest,0.9280962597793231,0.8244541652277348,0.8911032744631786,1.0392032725093325,512,268,180,1592,0.8985246722921421,0.6567941556607723,0.6955766355423455,0.8156862745098039,0.4606538895152198
zscore,Normal_Feature_Set.csv,MinMaxScaler,RandomForest,0.9110541711823223,0.8398156212512118,0.9219622420917576,0.9394949569331097,1685,646,322,3390,0.9133264423355497,0.7229212879267785,0.7768153484943879,0.8327814569536424,0.47801578354002255
isoforest,Normal_Feature_Set.csv,MinMaxScaler,RandomForest,0.9143563224106211,0.8486624195663053,0.9286329207015417,0.8060187235392895,2264,667,452,4011,0.8987385879690709,0.7725174734329874,0.8018531873669167,0.8417849898580122,0.5470124013528749
none,Normal_Feature_Set.csv,MinMaxScaler,LogisticRegression,0.7516064761136596,0.7493614556462063,0.84065812083354,0.4664500809247615,2263,1388,484,3334,0.8733098750012637,0.6198366183962742,0.7073763520667213,0.7300736771600804,0.5204058624577226
iqr,Normal_Feature_Set.csv,MinMaxScaler,LogisticRegression,0.7920260036537946,0.784487932159165,0.9016940725119763,0.6727625703467507,611,469,81,1391,0.9449953518335829,0.5658751795821735,0.6896673105711983,0.7749510763209393,0.4605787298008267
zscore,Normal_Feature_Set.csv,MinMaxScaler,LogisticRegression,0.7885567543584545,0.7858689519552583,0.8925457053639463,0.5323755313380686,1713,1000,294,3036,0.9117436734633252,0.6314992818122392,0.7258652966541674,0.7667493796526055,0.5258173618940247
isoforest,Normal_Feature_Set.csv,MinMaxScaler,LogisticRegression,0.7572018515629063,0.7545316890229564,0.8480815042346757,0.4757360227495656,2246,1345,470,3333,0.8764713145755454,0.6254064892093596,0.7121896338455348,0.7417173766058147,0.5213077790304397
none,Normal_Feature_Set.csv,MinMaxScaler,SVC,0.7467196092599127,0.7436045588919644,0.8535902154521603,0.3066256706164472,2305,1473,442,3249,0.8803547099854974,0.6102375033707275,0.7065123477973825,0.7260549229738781,0.5993987222848555
iqr,Normal_Feature_Set.csv,MinMaxScaler,SVC,0.7724340059149818,0.761754345573846,0.8971596635734891,0.6437851768685816,620,536,72,1324,0.9483971425184942,0.5364669557990738,0.6710682878260188,0.7411764705882353,0.45659526493799324
zscore,Normal_Feature_Set.csv,MinMaxScaler,SVC,0.7828480698807438,0.7739541737191813,0.905073275164139,0.059006356410658586,1743,1102,264,2934,0.9174987259027289,0.6126837530866766,0.7184574350108145,0.749379652605459,0.8191657271702368
isoforest,Normal_Feature_Set.csv,MinMaxScaler,SVC,0.7598391284691799,0.7548017760601511,0.8645508225534607,0.35650816853566397,2308,1405,408,3273,0.8891620360616009,0.6216652753519917,0.7180170257235281,0.7457741717376606,0.5873731679819617
none,Normal_Feature_Set.csv,MinMaxScaler,KNeighbors,0.8601887326152587,0.7946155687720742,0.8607232978335793,0.7229667884122968,1716,503,1031,4219,0.8036764149841655,0.7737763133512534,0.691039445793735,0.7782987273945077,0.5433295753476137
iqr,Normal_Feature_Set.csv,MinMaxScaler,KNeighbors,0.8565836684884452,0.782140362994513,0.8193218917152393,0.8149687785099058,342,206,350,1654,0.8253925455128615,0.6249070778198863,0.5515985925014806,0.7647058823529411,0.49372416384817736
zscore,Normal_Feature_Set.csv,MinMaxScaler,KNeighbors,0.8664160661361546,0.8063895781637717,0.8587796513902844,0.8202167562837754,1203,366,804,3670,0.8203449138673202,0.7670595359289092,0.6727426399125698,0.7956989247311828,0.49086809470124015
isoforest,Normal_Feature_Set.csv,MinMaxScaler,KNeighbors,0.8627265229699308,0.7961843801493347,0.857360479241262,0.8068768122102883,1687,478,1029,4200,0.8032304633886233,0.7793513719919144,0.6912291724890871,0.7834912043301759,0.5027433295753476
none,Normal_Feature_Set.csv,MinMaxScaler,GradientBoosting,0.9077183825959347,0.8761524329064414,0.947064579331957,0.1518274524767306,2142,320,605,4402,0.8792457361153172,0.8701353781726668,0.8223484992275985,0.8586738111185532,0.8923712889891018
iqr,Normal_Feature_Set.csv,MinMaxScaler,GradientBoosting,0.9499416707736265,0.8659951651893636,0.9297013160859813,0.32873777648138447,472,122,220,1738,0.887751954944916,0.7965951020018422,0.7340919727818992,0.8493150684931506,0.835174746335964
zscore,Normal_Feature_Set.csv,MinMaxScaler,GradientBoosting,0.9127090297569055,0.8748977043038142,0.944378323805077,0.8544356983829113,1531,280,476,3756,0.8875999785646501,0.8462052398382618,0.8020263505736807,0.8643507030603805,0.561292747087561
isoforest,Normal_Feature_Set.csv,MinMaxScaler,GradientBoosting,0.910028342698026,0.8759808267481318,0.9458237087379657,0.33356482478903626,2121,322,595,4356,0.8799670881231035,0.8683087338001784,0.8221138636674583,0.8647734956051386,0.8309658023299511
none,Normal_Feature_Set.csv,MinMaxScaler,MLPClassifier,0.9136430463835816,0.8931560132021724,0.9577514442246968,0.09271863515563786,2191,242,556,4480,0.889586473161595,0.9005866736836781,0.845958147042867,0.8754186202277294,0.8835776024051107
iqr,Normal_Feature_Set.csv,MinMaxScaler,MLPClassifier,0.9159478967167196,0.8848025785656729,0.9427135430505527,0.8204255535236065,532,134,160,1726,0.9160740825707225,0.8082708292161369,0.7838091225010957,0.863013698630137,0.5761743705373921
zscore,Normal_Feature_Set.csv,MinMaxScaler,MLPClassifier,0.9286779400822937,0.9068355983545044,0.9631856434506119,0.6980633102050409,1717,273,290,3763,0.9287628834382383,0.8635988960187454,0.8589750775356595,0.8957816377171216,0.6745584366779407
isoforest,Normal_Feature_Set.csv,MinMaxScaler,MLPClassifier,0.9204418180249043,0.8939673242261301,0.9584730857132119,0.2527771452563242,2258,326,458,4352,0.905942204096068,0.8775331945025417,0.8517517830546655,0.8857336037863421,0.8224727546035325
none,Normal_Feature_Set.csv,MinMaxScaler,XGBoost,0.9617752292293302,0.898779758462293,0.9651931238129334,0.28361385400771033,2277,286,470,4436,0.9043309631457952,0.8884398884128482,0.8574947119147076,0.8847957133288681,0.8586997369409997
iqr,Normal_Feature_Set.csv,MinMaxScaler,XGBoost,0.9944162302572005,0.8910732512182955,0.9483822479183555,0.8346030983282026,504,90,188,1770,0.9041545552384186,0.8495075424924103,0.7835856887437161,0.8786692759295499,0.6659902292371289
zscore,Normal_Feature_Set.csv,MinMaxScaler,XGBoost,0.9724887441977478,0.902201069243368,0.9636015385249225,1.0056447199075607,1644,228,363,3808,0.913063612940293,0.8784326294511142,0.8475613930644504,0.8966087675765095,0.518075911311537
isoforest,Normal_Feature_Set.csv,MinMaxScaler,XGBoost,0.9638557557281227,0.9034339114769608,0.9655376285676043,0.559572664238035,2263,261,453,4417,0.9071044193509821,0.896714181478177,0.8636404528258433,0.8937753721244925,0.7367155204810222
none,Normal_Feature_Set.csv,RobustScaler,RandomForest,0.9129401511205211,0.848439527253914,0.9299261130299306,0.6476902083323768,2280,665,467,4057,0.8967892335897792,0.7742727066885944,0.8011256972062022,0.8380187416331994,0.629913566328448
iqr,Normal_Feature_Set.csv,RobustScaler,RandomForest,0.9280962597793231,0.8244541652277348,0.8911032744631786,1.0392032725093325,512,268,180,1592,0.8985246722921421,0.6567941556607723,0.6955766355423455,0.8156862745098039,0.4606538895152198
