Outlier,Set,Scaler,Classifier,Acc (mean±sd),AUC (mean±sd),External Test Acc,Fold External Test Acc,p-val vs RF,F1 (mean)
none,Aggressive_Feature_Set.csv,MinMaxScaler,GradientBoosting,0.885 ± 0.008,0.950 ± 0.010,0.98835,0.973 ± 0.012,0.0061,0.831
none,Aggressive_Feature_Set.csv,MinMaxScaler,KNeighbors,0.788 ± 0.007,0.852 ± 0.013,0.43217,0.527 ± 0.127,0.0001,0.680
none,Aggressive_Feature_Set.csv,MinMaxScaler,LogisticRegression,0.737 ± 0.009,0.828 ± 0.015,0.52912,0.535 ± 0.005,0.0000,0.694
none,Aggressive_Feature_Set.csv,MinMaxScaler,MLPClassifier,0.888 ± 0.019,0.955 ± 0.009,0.98159,0.970 ± 0.017,0.0475,0.839
none,Aggressive_Feature_Set.csv,MinMaxScaler,RandomForest,0.858 ± 0.014,0.937 ± 0.011,0.97708,0.965 ± 0.010,,0.813
none,Aggressive_Feature_Set.csv,MinMaxScaler,SVC,0.734 ± 0.007,0.844 ± 0.010,0.59301,0.654 ± 0.105,0.0000,0.698
none,Aggressive_Feature_Set.csv,MinMaxScaler,XGBoost,0.909 ± 0.012,0.969 ± 0.007,0.99023,0.982 ± 0.007,0.0002,0.870
none,Aggressive_Feature_Set.csv,RobustScaler,GradientBoosting,0.885 ± 0.008,0.950 ± 0.010,0.98835,0.974 ± 0.011,0.0094,0.831
none,Aggressive_Feature_Set.csv,RobustScaler,KNeighbors,0.813 ± 0.010,0.879 ± 0.015,0.54791,0.559 ± 0.018,0.0009,0.724
none,Aggressive_Feature_Set.csv,RobustScaler,LogisticRegression,0.818 ± 0.010,0.896 ± 0.010,0.87148,0.907 ± 0.025,0.0005,0.767
none,Aggressive_Feature_Set.csv,RobustScaler,MLPClassifier,0.912 ± 0.016,0.962 ± 0.009,0.99511,0.989 ± 0.004,0.0054,0.876
none,Aggressive_Feature_Set.csv,RobustScaler,RandomForest,0.858 ± 0.015,0.937 ± 0.011,0.97745,0.965 ± 0.009,,0.814
none,Aggressive_Feature_Set.csv,RobustScaler,SVC,0.661 ± 0.005,0.786 ± 0.020,0.50132,0.503 ± 0.002,0.0000,0.155
none,Aggressive_Feature_Set.csv,RobustScaler,XGBoost,0.907 ± 0.013,0.968 ± 0.007,0.99023,0.984 ± 0.007,0.0004,0.867
none,Normal_Feature_Set.csv,MinMaxScaler,GradientBoosting,0.876 ± 0.011,0.947 ± 0.010,0.87411,0.892 ± 0.086,0.0051,0.822
none,Normal_Feature_Set.csv,MinMaxScaler,KNeighbors,0.795 ± 0.010,0.861 ± 0.015,0.47238,0.543 ± 0.061,0.0017,0.691
none,Normal_Feature_Set.csv,MinMaxScaler,LogisticRegression,0.749 ± 0.012,0.841 ± 0.016,0.51898,0.520 ± 0.005,0.0001,0.707
none,Normal_Feature_Set.csv,MinMaxScaler,MLPClassifier,0.893 ± 0.011,0.958 ± 0.008,0.82300,0.884 ± 0.043,0.0008,0.846
none,Normal_Feature_Set.csv,MinMaxScaler,RandomForest,0.848 ± 0.013,0.930 ± 0.011,0.64713,0.630 ± 0.030,,0.801
none,Normal_Feature_Set.csv,MinMaxScaler,SVC,0.744 ± 0.011,0.854 ± 0.012,0.57535,0.599 ± 0.027,0.0000,0.707
none,Normal_Feature_Set.csv,MinMaxScaler,XGBoost,0.899 ± 0.011,0.965 ± 0.008,0.69974,0.859 ± 0.114,0.0002,0.857
none,Normal_Feature_Set.csv,RobustScaler,GradientBoosting,0.876 ± 0.011,0.947 ± 0.010,0.87411,0.892 ± 0.086,0.0051,0.822
none,Normal_Feature_Set.csv,RobustScaler,KNeighbors,0.811 ± 0.010,0.879 ± 0.011,0.58249,0.653 ± 0.045,0.0012,0.720
none,Normal_Feature_Set.csv,RobustScaler,LogisticRegression,0.817 ± 0.017,0.898 ± 0.015,0.58362,0.582 ± 0.011,0.0065,0.772
none,Normal_Feature_Set.csv,RobustScaler,MLPClassifier,0.923 ± 0.009,0.968 ± 0.006,0.59602,0.739 ± 0.130,0.0002,0.894
none,Normal_Feature_Set.csv,RobustScaler,RandomForest,0.848 ± 0.013,0.930 ± 0.011,0.64713,0.630 ± 0.030,,0.801
none,Normal_Feature_Set.csv,RobustScaler,SVC,0.807 ± 0.007,0.909 ± 0.008,0.49342,0.490 ± 0.009,0.0003,0.765
none,Normal_Feature_Set.csv,RobustScaler,XGBoost,0.899 ± 0.011,0.965 ± 0.008,0.69974,0.859 ± 0.114,0.0002,0.857
none,Raw_Feature_Set.csv,MinMaxScaler,GradientBoosting,0.884 ± 0.009,0.953 ± 0.009,0.87148,0.897 ± 0.070,0.0004,0.836
none,Raw_Feature_Set.csv,MinMaxScaler,KNeighbors,0.796 ± 0.011,0.859 ± 0.013,0.46561,0.516 ± 0.037,0.0011,0.694
none,Raw_Feature_Set.csv,MinMaxScaler,LogisticRegression,0.756 ± 0.012,0.848 ± 0.016,0.52198,0.524 ± 0.006,0.0000,0.714
none,Raw_Feature_Set.csv,MinMaxScaler,MLPClassifier,0.938 ± 0.010,0.982 ± 0.004,0.74070,0.827 ± 0.080,0.0000,0.915
none,Raw_Feature_Set.csv,MinMaxScaler,RandomForest,0.853 ± 0.014,0.932 ± 0.012,0.67343,0.680 ± 0.025,,0.807
none,Raw_Feature_Set.csv,MinMaxScaler,SVC,0.743 ± 0.010,0.855 ± 0.012,0.57535,0.592 ± 0.023,0.0000,0.706
none,Raw_Feature_Set.csv,MinMaxScaler,XGBoost,0.915 ± 0.013,0.973 ± 0.006,0.68395,0.805 ± 0.117,0.0001,0.880
none,Raw_Feature_Set.csv,RobustScaler,GradientBoosting,0.884 ± 0.009,0.953 ± 0.009,0.87148,0.897 ± 0.070,0.0004,0.836
none,Raw_Feature_Set.csv,RobustScaler,KNeighbors,0.808 ± 0.013,0.872 ± 0.008,0.50620,0.505 ± 0.017,0.0000,0.714
none,Raw_Feature_Set.csv,RobustScaler,LogisticRegression,0.896 ± 0.017,0.955 ± 0.012,0.55468,0.607 ± 0.031,0.0015,0.863
none,Raw_Feature_Set.csv,RobustScaler,MLPClassifier,0.958 ± 0.007,0.985 ± 0.005,0.57760,0.875 ± 0.170,0.0001,0.942
none,Raw_Feature_Set.csv,RobustScaler,RandomForest,0.853 ± 0.014,0.932 ± 0.012,0.67343,0.679 ± 0.025,,0.807
none,Raw_Feature_Set.csv,RobustScaler,SVC,0.818 ± 0.009,0.919 ± 0.008,0.48854,0.483 ± 0.006,0.0023,0.777
none,Raw_Feature_Set.csv,RobustScaler,XGBoost,0.915 ± 0.013,0.973 ± 0.006,0.68395,0.805 ± 0.117,0.0001,0.880
