,,0
Aggregated_File_Version_Feature,Adjusted_Cmd_Extension_Count,0.93049769645459
Adjusted_Cmd_Extension_Count,Aggregated_File_Version_Feature,0.93049769645459
ApplicationPath_Count,Rule_Names_Entropy_Ratio,0.9254926429106579
Rule_Names_Entropy_Ratio,ApplicationPath_Count,0.9254926429106579
Avg_Permission_Flag_Count,Adjusted_Service_Entropy_Avg_Proportion,0.8429783833920597
Adjusted_Service_Entropy_Avg_Proportion,Avg_Permission_Flag_Count,0.8429783833920597
Process_ID_Entropy,Avg_Children_Per_Parent,0.8326521889141741
Avg_Children_Per_Parent,Process_ID_Entropy,0.8326521889141741
Suspicious_Directory_Count,Crash_Event_Ratio,0.8298450801269148
Crash_Event_Ratio,Suspicious_Directory_Count,0.8298450801269148
System_Provider_Entropy,Opcode_Entropy,0.8281325970487836
Opcode_Entropy,System_Provider_Entropy,0.8281325970487836
Adjusted_Desc_Product_Company_Avg_Proportion,Desc_Product_Company_Entropy_Proportion,0.8245417132073493
Desc_Product_Company_Entropy_Proportion,Adjusted_Desc_Product_Company_Avg_Proportion,0.8245417132073493
Desc_Product_Company_Entropy_Proportion,Cmd_Length_x_Num_Digits,0.8217455646748806
Cmd_Length_x_Num_Digits,Desc_Product_Company_Entropy_Proportion,0.8217455646748806
Unique_Opcode_Ratio,Adjusted_Desc_Product_Company_Avg_Proportion,0.8123879877672912
Adjusted_Desc_Product_Company_Avg_Proportion,Unique_Opcode_Ratio,0.8123879877672912
Error_Code_Ratio,Source_Avg_Entropy_Proportion,0.7912053784553015
Source_Avg_Entropy_Proportion,Error_Code_Ratio,0.7912053784553015
Unique_Suspicious_Fields_Ratio,param1_Count,0.7865489309129056
param1_Count,Unique_Suspicious_Fields_Ratio,0.7865489309129056
Cmd_Num_Special_Chars,Cmd_Flag_Count,0.7673786700557697
Cmd_Flag_Count,Cmd_Num_Special_Chars,0.7673786700557697
Adjusted_Desc_Product_Company_Avg_Proportion,Cmd_Length_x_Num_Digits,0.7576929481083843
Cmd_Length_x_Num_Digits,Adjusted_Desc_Product_Company_Avg_Proportion,0.7576929481083843
Unique_Message_Line_Numbers,Unique_Opcode_Ratio,0.7561981489104549
Unique_Opcode_Ratio,Unique_Message_Line_Numbers,0.7561981489104549
Unique_Keyword_Task_Ratio,Uncategorized_Event_Ratio,0.75361197562041
Uncategorized_Event_Ratio,Unique_Keyword_Task_Ratio,0.75361197562041
Avg_Children_Per_Parent,Event_Task_Keyword_Entropy,0.7285994035366198
Event_Task_Keyword_Entropy,Avg_Children_Per_Parent,0.7285994035366198
Std_Event_Time_Interval,Total_Execution_Time,0.7273877299021224
Total_Execution_Time,Std_Event_Time_Interval,0.7273877299021224
Event_Task_Keyword_Entropy,Event_Record_Id_Ratio,0.7194111110142917
Event_Record_Id_Ratio,Event_Task_Keyword_Entropy,0.7194111110142917
Cmd_Num_Special_Chars,Adjusted_Original_File_Alpha_Numeric,0.7173123415125326
Adjusted_Original_File_Alpha_Numeric,Cmd_Num_Special_Chars,0.7173123415125326
Unique_File_Paths_Accessed,Adjusted_Original_File_Alpha_Numeric,0.714333487587271
Adjusted_Original_File_Alpha_Numeric,Unique_File_Paths_Accessed,0.714333487587271
Event_Task_Keyword_Entropy,Process_ID_Entropy,0.6927329824172698
Process_ID_Entropy,Event_Task_Keyword_Entropy,0.6927329824172698
Cmd_Dir_Combined,Total_Execution_Time,0.6821368136747923
Total_Execution_Time,Cmd_Dir_Combined,0.6821368136747923
Unique_File_Paths_Accessed,Desc_Product_Company_Entropy_Proportion,0.6794967950637336
Desc_Product_Company_Entropy_Proportion,Unique_File_Paths_Accessed,0.6794967950637336
Average_Event_Time_Interval,Adjusted_Desc_Product_Company_Avg_Proportion,0.6662372961288417
Adjusted_Desc_Product_Company_Avg_Proportion,Average_Event_Time_Interval,0.6662372961288417
Auth_Event_Ratio,Interface_Guid_Ratio,0.6652881308062051
Interface_Guid_Ratio,Auth_Event_Ratio,0.6652881308062051
Unique_Opcode_Ratio,Average_Event_Time_Interval,0.6565991036122472
Average_Event_Time_Interval,Unique_Opcode_Ratio,0.6565991036122472
Opcode_Entropy,Event_Task_Keyword_Entropy,0.654479089267311
Event_Task_Keyword_Entropy,Opcode_Entropy,0.654479089267311
Adjusted_High_Privilege_Integrity_Ratio,Unique_File_Paths_Accessed,0.6538236559591736
Unique_File_Paths_Accessed,Adjusted_High_Privilege_Integrity_Ratio,0.6538236559591736
Unique_Message_Line_Numbers,Source_Avg_Entropy_Proportion,0.6481264279361372
Source_Avg_Entropy_Proportion,Unique_Message_Line_Numbers,0.6481264279361372
Avg_Permission_Flag_Count,Event_UserData_CompatibilityFixEvent_FixID_Count,0.6351557646765552
Event_UserData_CompatibilityFixEvent_FixID_Count,Avg_Permission_Flag_Count,0.6351557646765552
Event_Task_Keyword_Entropy,System_Provider_Entropy,0.6274271192372116
System_Provider_Entropy,Event_Task_Keyword_Entropy,0.6274271192372116
Original_File_Lower,Original_File_Ext,0.6249375619762914
Original_File_Ext,Original_File_Lower,0.6249375619762914
Unique_Message_Line_Numbers,Error_Code_Ratio,0.6201552338219433
Error_Code_Ratio,Unique_Message_Line_Numbers,0.6201552338219433
param1_Count,Security_Event_Ratio,0.618216759762339
Security_Event_Ratio,param1_Count,0.618216759762339
Adjusted_Original_File_Alpha_Numeric,Adjusted_High_Privilege_Integrity_Ratio,0.6145212337282854
Adjusted_High_Privilege_Integrity_Ratio,Adjusted_Original_File_Alpha_Numeric,0.6145212337282854
Event_Kurtosis_Skewness,Event_Task_Keyword_Entropy,0.6091277746634459
Event_Task_Keyword_Entropy,Event_Kurtosis_Skewness,0.6091277746634459
Desc_Product_Company_Entropy_Proportion,Adjusted_High_Privilege_Integrity_Ratio,0.6053108344006427
Adjusted_High_Privilege_Integrity_Ratio,Desc_Product_Company_Entropy_Proportion,0.6053108344006427
Uncategorized_Event_Ratio,Interface_Guid_Ratio,0.596098167115777
Interface_Guid_Ratio,Uncategorized_Event_Ratio,0.596098167115777
Desc_Product_Company_Entropy_Proportion,Adjusted_Original_File_Alpha_Numeric,0.5954967867390601
Adjusted_Original_File_Alpha_Numeric,Desc_Product_Company_Entropy_Proportion,0.5954967867390601
Unique_Message_Line_Numbers,Adjusted_Desc_Product_Company_Avg_Proportion,0.5953482017470332
Adjusted_Desc_Product_Company_Avg_Proportion,Unique_Message_Line_Numbers,0.5953482017470332
Cmd_Length_x_Num_Digits,Unique_Opcode_Ratio,0.5953377283480636
Unique_Opcode_Ratio,Cmd_Length_x_Num_Digits,0.5953377283480636
